"Make","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","selling_price_dollars","age","selling_price_binary"
"Toyota",2015,2e+06,120000,"Diesel","Individual","Manual","First Owner",13,2494,142,7,26000,7,"No"
"Tata",2010,4e+05,120000,"Diesel","Individual","Manual","Fourth & Above Owner",13.93,2179,138.03,7,5200,12,"Yes"
"Fiat",2015,5e+05,96500,"Diesel","Individual","Manual","First Owner",20.5,1248,91.72,5,6500,7,"Yes"
"Maruti",2017,340000,52412,"Petrol","Dealer","Manual","First Owner",18.9,998,67.1,5,4420,5,"Yes"
"Mahindra",2012,480000,85472,"Diesel","Dealer","Manual","First Owner",12.05,2179,120,8,6240,10,"Yes"
"Ford",2013,480000,87452,"Diesel","Dealer","Manual","Second Owner",22.77,1498,98.59,5,6240,9,"Yes"
"Ford",2018,750000,17000,"Diesel","Individual","Manual","First Owner",23,1498,98.96,5,9750,4,"Yes"
"Maruti",2008,1e+05,66530,"Petrol","Individual","Manual","Second Owner",18.9,1061,67,5,1300,14,"Yes"
"Hyundai",2013,290000,40000,"Petrol","Individual","Manual","First Owner",18.5,1197,82.85,5,3770,9,"Yes"
"Fiat",2015,425000,96500,"Diesel","Individual","Manual","First Owner",20.5,1248,91.72,5,5525,7,"Yes"
"Honda",2010,285000,79000,"Petrol","Individual","Manual","First Owner",16.8,1497,116.3,5,3705,12,"Yes"
"Mahindra",2016,625000,50000,"Diesel","Individual","Manual","First Owner",18.49,1493,100,7,8125,6,"Yes"
"Fiat",2012,170000,60000,"Diesel","Individual","Manual","Second Owner",20.3,1248,75,5,2210,10,"Yes"
"Tata",2018,459999,35000,"Petrol","Individual","Manual","First Owner",17.57,1193,88.7,5,5979.987,4,"Yes"
"Fiat",2015,450000,120000,"Diesel","Individual","Manual","First Owner",20.5,1248,91.72,5,5850,7,"Yes"
"Maruti",2019,650000,10000,"Petrol","Individual","Automatic","First Owner",21.21,1197,81.8,5,8450,3,"Yes"
"Hyundai",2017,6e+05,15000,"Petrol","Individual","Manual","First Owner",17.19,1197,81.86,5,7800,5,"Yes"
"Maruti",2013,178000,70000,"CNG","Individual","Manual","Second Owner",30.46,796,47.3,5,2314,9,"Yes"
"Maruti",2016,3e+05,5000,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,3900,6,"Yes"
"Maruti",2009,150000,40000,"Petrol","Individual","Manual","First Owner",19.7,796,46.3,5,1950,13,"Yes"
"Hyundai",2019,590000,10000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.86,5,7670,3,"Yes"
"Hyundai",2016,310000,25000,"Petrol","Individual","Manual","First Owner",21.1,814,55.2,5,4030,6,"Yes"
"Tata",2017,4e+05,53000,"Petrol","Individual","Manual","First Owner",17.57,1193,88.7,5,5200,5,"Yes"
"Mahindra",2014,520000,110000,"Diesel","Individual","Manual","Second Owner",12.05,2179,120,9,6760,8,"Yes"
"Other",2013,3e+05,2e+05,"Diesel","Individual","Manual","Second Owner",20.07,1461,75,8,3900,9,"Yes"
"Mahindra",2019,1e+06,22000,"Petrol","Individual","Manual","First Owner",17,1197,110,5,13000,3,"No"
"Maruti",2003,65000,70000,"Petrol","Individual","Manual","Fourth & Above Owner",18.9,998,67.1,5,845,19,"Yes"
"Honda",2015,509999,75000,"Diesel","Individual","Manual","Second Owner",25.8,1498,98.6,5,6629.987,7,"Yes"
"Maruti",2012,221000,70000,"Petrol","Individual","Manual","First Owner",18.9,998,67.1,5,2873,10,"Yes"
"Volkswagen",2014,390000,64000,"Petrol","Individual","Manual","Third Owner",15.04,1598,103.2,5,5070,8,"Yes"
"Maruti",2002,350000,60000,"Petrol","Individual","Manual","First Owner",11.96,1298,80,8,4550,20,"Yes"
"Maruti",2009,195000,40000,"Petrol","Individual","Manual","First Owner",19.7,796,46.3,5,2535,13,"Yes"
"Audi",2010,1750000,110000,"Diesel","Individual","Automatic","Second Owner",12.07,2967,241.4,7,22750,12,"No"
"Mahindra",2013,6e+05,60000,"Diesel","Individual","Manual","First Owner",12.05,2179,120,8,7800,9,"Yes"
"Hyundai",2015,615000,72000,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,7995,7,"Yes"
"Hyundai",2013,350000,70000,"Diesel","Individual","Manual","Second Owner",21.9,1396,88.76,5,4550,9,"Yes"
"Chevrolet",2012,140000,75000,"Diesel","Individual","Manual","First Owner",25.44,936,57.6,5,1820,10,"Yes"
"Hyundai",2017,650000,32331,"Diesel","Individual","Manual","Second Owner",22.54,1396,88.73,5,8450,5,"Yes"
"Hyundai",2016,1100000,70000,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,14300,6,"No"
"Hyundai",2010,285000,80000,"Diesel","Individual","Manual","Second Owner",23,1396,90,5,3705,12,"Yes"
"Chevrolet",2011,190000,20000,"Petrol","Individual","Manual","Second Owner",18,995,62,5,2470,11,"Yes"
"Nissan",2012,350000,110000,"Petrol","Individual","Manual","First Owner",16.95,1498,97.7,5,4550,10,"Yes"
"Hyundai",2014,4e+05,40000,"Petrol","Individual","Manual","Second Owner",18.9,1197,82,5,5200,8,"Yes"
"Toyota",2016,2100000,40000,"Petrol","Individual","Automatic","First Owner",10.75,2694,163.7,7,27300,6,"No"
"Hyundai",2015,434999,90000,"Petrol","Individual","Manual","Second Owner",18.6,1197,81.83,5,5654.987,7,"Yes"
"Maruti",2014,450000,50000,"Petrol","Individual","Manual","Second Owner",19.1,1197,85.8,5,5850,8,"Yes"
"Other",2001,45000,137000,"Petrol","Individual","Manual","First Owner",18.5,796,53,5,585,21,"Yes"
"Hyundai",2015,450000,60000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,5850,7,"Yes"
"Maruti",2017,580000,30000,"Diesel","Individual","Manual","First Owner",25.2,1248,74,5,7540,5,"Yes"
"Hyundai",2016,9e+05,98000,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,11700,6,"No"
"Maruti",2016,750000,50000,"Diesel","Individual","Manual","First Owner",24.52,1248,88.5,7,9750,6,"Yes"
"Tata",2009,140000,120000,"Diesel","Individual","Manual","Third Owner",19.09,1396,69,5,1820,13,"Yes"
"Hyundai",2017,525000,30000,"Petrol","Individual","Manual","First Owner",18.9,1197,81.86,5,6825,5,"Yes"
"Tata",2009,114999,120000,"Diesel","Individual","Manual","Third Owner",19.09,1396,69,5,1494.987,13,"Yes"
"Tata",2016,399000,40000,"Petrol","Individual","Manual","First Owner",23.84,1199,84,5,5187,6,"Yes"
"Tata",2012,275000,90000,"Diesel","Individual","Manual","Second Owner",19,1405,71,5,3575,10,"Yes"
"Hyundai",2011,340000,80000,"Diesel","Individual","Manual","Second Owner",21.9,1396,90,5,4420,11,"Yes"
"Hyundai",2012,222000,120000,"LPG","Individual","Manual","First Owner",21.1,814,55.2,5,2886,10,"Yes"
"Mahindra",2013,850000,2e+05,"Diesel","Individual","Automatic","First Owner",11.18,2696,184,7,11050,9,"No"
"Tata",2007,70000,110000,"Diesel","Individual","Manual","Second Owner",17.2,1396,53.5,5,910,15,"Yes"
"Tata",2017,430000,38000,"Petrol","Individual","Manual","Second Owner",23.84,1199,84,5,5590,5,"Yes"
"Tata",2017,430000,35000,"Petrol","Individual","Manual","Second Owner",23.84,1199,84,5,5590,5,"Yes"
"Maruti",2014,320000,70000,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,4160,8,"Yes"
"Renault",2012,5e+05,120000,"Diesel","Individual","Manual","Second Owner",21.8,1461,78,5,6500,10,"Yes"
"Renault",2012,5e+05,110000,"Diesel","Individual","Manual","Second Owner",19.01,1461,108.45,5,6500,10,"Yes"
"Tata",2010,229999,140000,"Diesel","Individual","Manual","First Owner",18.4,1248,75,5,2989.987,12,"Yes"
"Mahindra",2009,6e+05,155000,"Diesel","Individual","Automatic","Second Owner",11.79,2179,120,8,7800,13,"Yes"
"Renault",2017,5e+05,80000,"Diesel","Individual","Manual","Second Owner",23.08,1461,63.1,5,6500,5,"Yes"
"Mahindra",2010,315000,120000,"Diesel","Individual","Manual","Second Owner",13.6,2523,63,7,4095,12,"Yes"
"Maruti",2011,265000,80000,"Petrol","Individual","Manual","First Owner",18.9,998,67.1,5,3445,11,"Yes"
"Ford",2015,350000,110000,"Diesel","Individual","Manual","Second Owner",25.83,1498,99,5,4550,7,"Yes"
"Tata",2012,2e+05,230000,"Diesel","Individual","Manual","First Owner",23.57,1396,70,5,2600,10,"Yes"
"Tata",2011,114999,172000,"Diesel","Individual","Manual","Second Owner",17.88,1396,52.8,5,1494.987,11,"Yes"
"Hyundai",2014,425000,25000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,5525,8,"Yes"
"Ford",2019,9e+05,35000,"Diesel","Individual","Manual","First Owner",23,1498,98.96,5,11700,3,"No"
"Mahindra",2014,550000,126000,"Diesel","Individual","Manual","First Owner",12.05,2179,120,7,7150,8,"Yes"
"Honda",2018,9e+05,30000,"Diesel","Individual","Manual","First Owner",25.5,1498,98.6,5,11700,4,"No"
"Hyundai",2011,165000,97000,"Petrol","Individual","Manual","Third Owner",19.81,1086,68.05,5,2145,11,"Yes"
"Hyundai",2016,850000,120000,"Diesel","Individual","Automatic","First Owner",19.08,1582,126.2,5,11050,6,"No"
"Hyundai",2016,850000,120000,"Diesel","Individual","Manual","First Owner",23.9,1582,126.32,5,11050,6,"No"
"Mahindra",2014,550000,80000,"Diesel","Individual","Manual","Second Owner",16.55,2498,105,6,7150,8,"Yes"
"Maruti",2011,5e+05,60000,"Diesel","Individual","Manual","Second Owner",19.3,1248,73.9,5,6500,11,"Yes"
"Maruti",2018,630000,15000,"Petrol","Individual","Manual","First Owner",21.21,1197,81.8,5,8190,4,"Yes"
"Hyundai",2011,160000,60000,"Petrol","Individual","Manual","First Owner",19.81,1086,68.05,5,2080,11,"Yes"
"Honda",2015,670000,60000,"Diesel","Individual","Manual","First Owner",25.1,1498,98.6,5,8710,7,"Yes"
"Maruti",2014,430000,90000,"Diesel","Individual","Manual","First Owner",22.9,1248,74,5,5590,8,"Yes"
"Hyundai",2015,375000,30000,"Petrol","Individual","Manual","First Owner",19.1,1197,82,5,4875,7,"Yes"
"Hyundai",2016,650000,35000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,8450,6,"Yes"
"Maruti",2016,5e+05,35000,"Diesel","Individual","Manual","First Owner",26.59,1248,74,5,6500,6,"Yes"
"Maruti",2016,5e+05,35000,"Diesel","Individual","Manual","First Owner",26.59,1248,74,5,6500,6,"Yes"
"Mahindra",2017,1350000,25000,"Diesel","Individual","Manual","First Owner",16,2179,140,7,17550,5,"No"
"Volkswagen",2018,6e+05,40000,"Diesel","Individual","Manual","First Owner",21.66,1498,108.62,5,7800,4,"Yes"
"Hyundai",2017,1200000,25000,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,15600,5,"No"
"BMW",2013,3750000,56000,"Diesel","Dealer","Automatic","First Owner",11.2,2993,241,4,48750,9,"No"
"Maruti",2018,795000,41779,"Petrol","Dealer","Manual","First Owner",21.21,1197,81.8,5,10335,4,"No"
"Honda",2016,625000,54000,"Petrol","Dealer","Manual","First Owner",18.7,1199,88.7,5,8125,6,"Yes"
"Mercedes-Benz",2016,2900000,31000,"Diesel","Dealer","Automatic","First Owner",13,2143,204,5,37700,6,"No"
"Maruti",2017,625000,37000,"Diesel","Individual","Automatic","First Owner",26.8,1248,74,5,8125,5,"Yes"
"Chevrolet",2011,440000,90000,"Diesel","Individual","Automatic","Second Owner",18.1,1991,147.9,4,5720,11,"Yes"
"Toyota",2018,1400000,13534,"Petrol","Dealer","Manual","First Owner",14.28,1798,138.03,5,18200,4,"No"
"Toyota",2017,1450000,7000,"Petrol","Dealer","Automatic","Second Owner",14.53,1794,138.1,5,18850,5,"No"
"Mercedes-Benz",2017,2700000,23000,"Diesel","Dealer","Automatic","First Owner",17.9,2143,136,5,35100,5,"No"
"Hyundai",2017,550000,23456,"Petrol","Dealer","Manual","First Owner",18.9,1197,82,5,7150,5,"Yes"
"Toyota",2019,1925000,43000,"Diesel","Dealer","Automatic","First Owner",11.36,2755,171.5,8,25025,3,"No"
"Mahindra",2015,1225000,39000,"Diesel","Dealer","Manual","First Owner",16,2179,140,7,15925,7,"No"
"Honda",2017,7e+05,15000,"Petrol","Individual","Manual","First Owner",17.5,1199,88.7,5,9100,5,"Yes"
"Maruti",2013,530000,40000,"Diesel","Individual","Manual","First Owner",23.4,1248,74,5,6890,9,"Yes"
"Other",2020,1900000,5000,"Diesel","Dealer","Automatic","First Owner",17.8,1493,113.4,5,24700,2,"No"
"Maruti",2017,844999,70000,"Diesel","Dealer","Manual","First Owner",28.09,1248,88.5,5,10984.987,5,"No"
"Skoda",2016,650000,99000,"Diesel","Dealer","Automatic","First Owner",21.66,1498,103.52,5,8450,6,"Yes"
"Maruti",2018,750000,15000,"Petrol","Dealer","Manual","First Owner",22,1197,81.8,5,9750,4,"Yes"
"BMW",2018,6e+06,28156,"Diesel","Dealer","Automatic","First Owner",17.09,2993,261.4,4,78000,4,"No"
"Honda",2015,610000,30000,"Petrol","Dealer","Manual","First Owner",18.7,1199,88.7,5,7930,7,"Yes"
"Chevrolet",2010,150000,70000,"Petrol","Individual","Manual","First Owner",18.6,1199,79.4,5,1950,12,"Yes"
"Maruti",2014,475000,40000,"Petrol","Individual","Manual","First Owner",19.1,1197,85.8,5,6175,8,"Yes"
"Mahindra",2008,375000,136500,"Diesel","Individual","Manual","Fourth & Above Owner",12.7,2609,120,8,4875,14,"Yes"
"Mahindra",2016,425000,70000,"Diesel","Individual","Manual","Second Owner",25.32,1198,77,6,5525,6,"Yes"
"Honda",2015,8e+05,90000,"Diesel","Individual","Manual","Second Owner",25.1,1498,98.6,5,10400,7,"No"
"Maruti",1996,40000,32000,"Petrol","Individual","Manual","Second Owner",16.1,796,37,4,520,26,"Yes"
"Maruti",2018,509999,8000,"Petrol","Individual","Automatic","Second Owner",20.51,998,67,5,6629.987,4,"Yes"
"Toyota",2015,387000,170000,"Diesel","Individual","Manual","First Owner",23.59,1364,67.04,5,5031,7,"Yes"
"Maruti",2014,235000,25000,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,3055,8,"Yes"
"Tata",2000,95000,120000,"Diesel","Individual","Manual","Fourth & Above Owner",12.2,1948,68,10,1235,22,"Yes"
"Maruti",2010,340000,110000,"Diesel","Individual","Manual","Third Owner",17.8,1248,75,5,4420,12,"Yes"
"Mahindra",2016,1e+06,1e+05,"Diesel","Individual","Manual","First Owner",16,2179,140,7,13000,6,"No"
"Ford",2009,160000,115000,"Diesel","Individual","Manual","Second Owner",13.8,1399,68,5,2080,13,"Yes"
"Mahindra",2008,365000,120000,"Diesel","Individual","Manual","Fourth & Above Owner",12.7,2609,120,8,4745,14,"Yes"
"Skoda",2011,3e+05,265000,"Diesel","Individual","Manual","Second Owner",20.86,1199,75,5,3900,11,"Yes"
"Maruti",2008,260000,90000,"Diesel","Individual","Manual","Second Owner",17.8,1248,75,5,3380,14,"Yes"
"Honda",2018,860000,40000,"Petrol","Individual","Automatic","First Owner",18.2,1199,88.7,5,11180,4,"No"
"Hyundai",2008,114999,55000,"Petrol","Individual","Manual","Second Owner",13.9,1599,103.2,5,1494.987,14,"Yes"
"Maruti",2007,1e+05,90000,"Petrol","Individual","Manual","Second Owner",19.7,796,46.3,5,1300,15,"Yes"
"Volkswagen",2014,565000,111000,"Diesel","Individual","Manual","First Owner",20.34,1498,103.2,5,7345,8,"Yes"
"Mahindra",2013,450000,120000,"Diesel","Individual","Manual","Second Owner",11.68,2498,112,7,5850,9,"Yes"
"Maruti",2017,625000,15000,"Petrol","Individual","Manual","First Owner",21.4,1197,83.1,5,8125,5,"Yes"
"Maruti",2016,280000,30000,"Petrol","Individual","Manual","Second Owner",22.74,796,47.3,5,3640,6,"Yes"
"Maruti",2017,330000,50000,"Petrol","Individual","Manual","First Owner",23.95,998,67.05,5,4290,5,"Yes"
"Hyundai",2015,1300000,40000,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,16900,7,"No"
"Tata",2008,65000,50000,"Petrol","Individual","Manual","Second Owner",15.3,1396,70,5,845,14,"Yes"
"Tata",2018,480000,45000,"Petrol","Individual","Manual","Second Owner",23.84,1199,84,5,6240,4,"Yes"
"Tata",2016,4e+05,35000,"Diesel","Individual","Manual","Second Owner",27.28,1047,69,5,5200,6,"Yes"
"Tata",2009,5e+05,80000,"Diesel","Individual","Manual","First Owner",13.93,2179,138,7,6500,13,"Yes"
"Mahindra",2012,320000,120000,"Diesel","Individual","Manual","First Owner",11.68,2498,112,7,4160,10,"Yes"
"Mahindra",2014,750000,90000,"Diesel","Individual","Manual","Second Owner",15.1,2179,140,7,9750,8,"Yes"
"Mahindra",2017,620000,1e+05,"Diesel","Individual","Manual","First Owner",16.5,1493,70,7,8060,5,"Yes"
"Maruti",2011,3e+05,120000,"Diesel","Individual","Manual","Third Owner",19.3,1248,73.9,5,3900,11,"Yes"
"Hyundai",2018,1405000,15000,"Petrol","Individual","Manual","First Owner",15.8,1591,121.3,5,18265,4,"No"
"Maruti",2017,282000,15000,"Petrol","Individual","Manual","First Owner",24.7,796,47.3,5,3666,5,"Yes"
"Maruti",2017,7e+05,15000,"Petrol","Individual","Automatic","First Owner",21.21,1197,81.8,5,9100,5,"Yes"
"Ford",2017,7e+05,70000,"Diesel","Individual","Manual","First Owner",25.83,1498,99,5,9100,5,"Yes"
"Ford",2015,6e+05,135000,"Diesel","Individual","Manual","First Owner",22.77,1498,98.59,5,7800,7,"Yes"
"Skoda",2012,290000,80000,"Diesel","Individual","Manual","Second Owner",20.5,1598,103.5,5,3770,10,"Yes"
"Chevrolet",2011,430000,80000,"Diesel","Individual","Automatic","Second Owner",18.1,1991,147.9,4,5590,11,"Yes"
"Hyundai",2017,575000,19000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,7475,5,"Yes"
"Hyundai",2017,875000,42000,"Petrol","Individual","Manual","First Owner",15.29,1591,121.3,5,11375,5,"No"
"Maruti",2010,180000,77000,"Petrol","Individual","Manual","First Owner",18.9,998,67.1,5,2340,12,"Yes"
"Maruti",2012,229999,120000,"Diesel","Individual","Manual","First Owner",23.2,1248,73.94,5,2989.987,10,"Yes"
"Toyota",2019,8e+05,10000,"Petrol","Individual","Automatic","First Owner",19.56,1197,81.8,5,10400,3,"No"
"Chevrolet",2009,60000,110000,"Petrol","Individual","Manual","Third Owner",16.5,995,63,5,780,13,"Yes"
"Maruti",2009,150000,110000,"Petrol","Individual","Manual","First Owner",15,1586,104.68,5,1950,13,"Yes"
"Tata",2007,1e+05,90000,"Diesel","Individual","Manual","Third Owner",23.57,1396,70,5,1300,15,"Yes"
"Hyundai",2015,9e+05,90000,"Petrol","Individual","Manual","First Owner",15.29,1591,121.3,5,11700,7,"No"
"Hyundai",2018,850000,50000,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,11050,4,"No"
"Chevrolet",2014,220000,50000,"Diesel","Individual","Manual","First Owner",25.44,936,56.3,5,2860,8,"Yes"
"Maruti",2014,250000,40000,"Petrol","Individual","Manual","Second Owner",22.74,796,47.3,5,3250,8,"Yes"
"Tata",2012,125000,120000,"Diesel","Individual","Manual","First Owner",22.3,1248,74,5,1625,10,"Yes"
"Hyundai",2018,1200000,27000,"Petrol","Individual","Manual","First Owner",15.8,1591,121.3,5,15600,4,"No"
"Tata",2013,250000,1e+05,"Diesel","Individual","Manual","First Owner",23.57,1396,70,5,3250,9,"Yes"
"Hyundai",2014,440000,70000,"Diesel","Individual","Manual","Second Owner",22.54,1396,88.73,5,5720,8,"Yes"
"Tata",2017,4e+05,40000,"Petrol","Individual","Manual","First Owner",23.84,1199,84,5,5200,5,"Yes"
"Maruti",2002,50000,62000,"Petrol","Individual","Manual","First Owner",16.1,796,37,4,650,20,"Yes"
"Hyundai",2018,1e+06,10000,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,13000,4,"No"
"Honda",2014,6e+05,160000,"Diesel","Individual","Manual","First Owner",25.1,1498,98.6,5,7800,8,"Yes"
"Hyundai",2010,250000,60000,"Petrol","Individual","Manual","First Owner",17,1197,80,5,3250,12,"Yes"
"Mahindra",2009,310000,110000,"Diesel","Individual","Manual","First Owner",13.6,2523,63,7,4030,13,"Yes"
"Maruti",2005,120000,60000,"Petrol","Individual","Manual","Fourth & Above Owner",18.9,998,67.1,5,1560,17,"Yes"
"Mahindra",2014,390000,78000,"Diesel","Individual","Manual","First Owner",11.68,2498,112,7,5070,8,"Yes"
"Hyundai",2019,458000,30000,"Petrol","Individual","Manual","First Owner",20.3,1086,68,5,5954,3,"Yes"
"Ford",2018,950000,20000,"Diesel","Individual","Manual","First Owner",23,1498,98.96,5,12350,4,"No"
"Maruti",2017,650000,21000,"Petrol","Individual","Manual","First Owner",22,1197,81.8,5,8450,5,"Yes"
"Maruti",2013,4e+05,70000,"Diesel","Individual","Manual","First Owner",22.9,1248,74,5,5200,9,"Yes"
"Hyundai",2015,4e+05,70000,"Petrol","Individual","Automatic","Second Owner",18.9,1197,82,5,5200,7,"Yes"
"Maruti",2006,1e+05,42500,"Petrol","Individual","Manual","First Owner",19.7,796,46.3,5,1300,16,"Yes"
"Hyundai",2012,350000,25000,"Petrol","Individual","Manual","First Owner",20.36,1197,78.9,5,4550,10,"Yes"
"Tata",2013,450000,80000,"Diesel","Individual","Manual","Second Owner",13.7,2197,138.1,7,5850,9,"Yes"
"Mahindra",2006,350000,90000,"Diesel","Individual","Manual","First Owner",12.7,2609,116.6,8,4550,16,"Yes"
"Volkswagen",2010,250000,80000,"Diesel","Individual","Manual","Fourth & Above Owner",22.07,1199,73.9,5,3250,12,"Yes"
"Mahindra",2013,450000,146000,"Diesel","Individual","Manual","Second Owner",15.96,2523,62.1,7,5850,9,"Yes"
"Maruti",2013,157000,47200,"Petrol","Individual","Manual","Third Owner",16.1,796,37,4,2041,9,"Yes"
"Mahindra",2018,1500000,60000,"Diesel","Individual","Manual","First Owner",15.1,2179,152.87,7,19500,4,"No"
"Mahindra",2018,1500000,60000,"Diesel","Individual","Manual","First Owner",15.1,2179,152.87,7,19500,4,"No"
"Tata",2007,75000,1e+05,"Petrol","Individual","Manual","Second Owner",15.3,1193,65.3,5,975,15,"Yes"
"Chevrolet",2010,280000,1e+05,"Diesel","Individual","Manual","Second Owner",14.8,2499,80,10,3640,12,"Yes"
"Hyundai",2015,6e+05,35000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,7800,7,"Yes"
"Tata",2012,250999,120000,"Diesel","Individual","Manual","Fourth & Above Owner",15.3,2956,83.8,7,3262.987,10,"Yes"
"Toyota",2010,350000,80000,"Petrol","Individual","Manual","Second Owner",12.5,1794,132,5,4550,12,"Yes"
"Renault",2016,3e+05,34000,"Petrol","Individual","Manual","First Owner",23.01,999,67,5,3900,6,"Yes"
"Renault",2017,819999,50000,"Diesel","Individual","Manual","First Owner",19.87,1461,83.8,5,10659.987,5,"No"
"Tata",2010,409999,1e+05,"Diesel","Individual","Manual","Second Owner",19.61,1405,70,5,5329.987,12,"Yes"
"Hyundai",2008,275000,52000,"Petrol","Individual","Manual","Second Owner",13.9,1599,103.2,5,3575,14,"Yes"
"Maruti",2013,497000,110000,"Diesel","Individual","Manual","First Owner",20.77,1248,88.76,7,6461,9,"Yes"
"Hyundai",2015,5e+05,70000,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,6500,7,"Yes"
"Mahindra",2006,170000,120000,"Diesel","Individual","Manual","Second Owner",14,2523,83,7,2210,16,"Yes"
"Ford",2016,515000,68609,"Diesel","Dealer","Manual","First Owner",22.7,1498,89.84,5,6695,6,"Yes"
"Ford",2018,925000,33360,"Diesel","Dealer","Manual","First Owner",22.77,1498,98.59,5,12025,4,"No"
"Mahindra",2019,1460000,5000,"Diesel","Individual","Manual","First Owner",17.3,1497,121,7,18980,3,"No"
"Other",2019,2700000,10000,"Diesel","Individual","Automatic","First Owner",13.8,2999,174.57,7,35100,3,"No"
"Tata",2017,830000,35000,"Diesel","Individual","Manual","First Owner",21.5,1497,108.5,5,10790,5,"No"
"Ford",2019,975000,30000,"Diesel","Individual","Manual","First Owner",23,1498,98.96,5,12675,3,"No"
"Ford",2018,620000,15000,"Petrol","Individual","Manual","First Owner",20.4,1194,94.93,5,8060,4,"Yes"
"Nissan",2019,860000,14317,"Petrol","Dealer","Manual","First Owner",14.23,1498,104.55,5,11180,3,"No"
"Datsun",2018,430000,5000,"Petrol","Individual","Manual","Second Owner",20.63,1198,67,5,5590,4,"Yes"
"Honda",2019,1227000,5000,"Petrol","Individual","Automatic","First Owner",18,1497,117.6,5,15951,3,"No"
"Honda",2017,860000,28000,"Petrol","Individual","Manual","First Owner",17.8,1497,117.3,5,11180,5,"No"
"Ford",2018,950000,40000,"Diesel","Individual","Manual","First Owner",23,1498,98.96,5,12350,4,"No"
"Ford",2012,225000,87237,"Diesel","Dealer","Manual","Second Owner",20,1399,68.05,5,2925,10,"Yes"
"Chevrolet",2011,5e+05,99500,"Diesel","Individual","Manual","Third Owner",11.5,1991,147.9,7,6500,11,"Yes"
"Ford",2017,5e+05,62960,"Diesel","Dealer","Manual","First Owner",25.83,1498,99,5,6500,5,"Yes"
"Other",2019,1700000,16500,"Petrol","Dealer","Automatic","First Owner",13.96,1451,141,5,22100,3,"No"
"Maruti",2014,545000,110000,"Diesel","Individual","Manual","First Owner",20.77,1248,88.76,7,7085,8,"Yes"
"Maruti",2011,4e+05,72000,"Diesel","Individual","Manual","First Owner",22.9,1248,74,5,5200,11,"Yes"
"Maruti",2018,650000,50000,"Diesel","Individual","Manual","First Owner",28.4,1248,74.02,5,8450,4,"Yes"
"Hyundai",2008,114999,55000,"Petrol","Individual","Manual","Second Owner",13.9,1599,103.2,5,1494.987,14,"Yes"
"Maruti",2015,562000,60000,"Diesel","Individual","Manual","First Owner",27.39,1248,74,5,7306,7,"Yes"
"Tata",2002,96000,120000,"Diesel","Individual","Manual","First Owner",14.07,2956,83.1,7,1248,20,"Yes"
"Jaguar",2017,2711000,9000,"Diesel","Dealer","Automatic","First Owner",13.6,1999,177,5,35243,5,"No"
"Lexus",2019,5150000,20000,"Petrol","Dealer","Automatic","First Owner",22.37,2487,214.56,5,66950,3,"No"
"Jaguar",2017,3200000,45000,"Diesel","Dealer","Automatic","First Owner",19.33,1999,177,5,41600,5,"No"
"Tata",2015,503000,110000,"Diesel","Individual","Manual","First Owner",14.1,2179,147.94,7,6539,7,"Yes"
"Volvo",2019,3800000,20000,"Diesel","Individual","Automatic","First Owner",18,1969,190,5,49400,3,"No"
"Toyota",2016,2e+06,68089,"Petrol","Trustmark Dealer","Automatic","First Owner",19.16,2494,157.7,5,26000,6,"No"
"Maruti",2013,225000,58343,"Petrol","Trustmark Dealer","Manual","First Owner",21.79,998,67.05,5,2925,9,"Yes"
"Maruti",2018,740000,38817,"Diesel","Dealer","Manual","First Owner",27.39,1248,74,5,9620,4,"Yes"
"Honda",2016,550000,56494,"Petrol","Trustmark Dealer","Manual","First Owner",18.2,1199,88.7,5,7150,6,"Yes"
"Toyota",2013,750000,79328,"Diesel","Trustmark Dealer","Manual","Second Owner",12.99,2494,100.6,7,9750,9,"Yes"
"Maruti",2019,650000,5621,"Petrol","Trustmark Dealer","Automatic","First Owner",22,1197,81.8,5,8450,3,"Yes"
"Toyota",2017,625000,25538,"Petrol","Trustmark Dealer","Manual","First Owner",16.78,1496,88.73,5,8125,5,"Yes"
"Maruti",2018,6e+05,69779,"Petrol","Dealer","Automatic","First Owner",22,1197,81.8,5,7800,4,"Yes"
"Hyundai",2017,450000,56290,"Diesel","Dealer","Manual","First Owner",24,1186,73.97,5,5850,5,"Yes"
